tennessee,8,Yves Pons,35,13,11.7,0.9,1.8,.516,0.7,1.1,.676,0.2,0.7,.280,0.2,0.4,.400,0.5,1.3,1.8,0.5,0.3,0.4,0.6,1.2,2.2,
tennessee,9,Brad Woodson,5,0,2.4,0.4,0.8,.500,0.0,0.2,.000,0.4,0.6,.667,0.4,0.4,1.000,0.0,0.2,0.2,0.4,0.2,0.0,0.0,0.2,1.6,
tennessee,10,Jalen Johnson,26,0,5.8,0.5,1.1,.483,0.2,0.3,.556,0.3,0.8,.450,0.1,0.1,.667,0.3,0.5,0.7,0.3,0.1,0.0,0.2,0.7,1.5,
tennessee,11,Derrick Walker,30,0,5.3,0.3,0.6,.526,0.3,0.6,.526,0.0,0.0,,0.2,0.6,.263,0.3,0.8,1.1,0.2,0.2,0.1,0.2,0.9,0.8,
tennessee,12,Lucas Campbell,7,0,2.0,0.3,1.3,.222,0.1,0.7,.200,0.1,0.6,.250,0.0,0.0,,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.1,0.7,
tennessee,13,Jacob Fleschman,5,0,2.4,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.333,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.0,0.6,0.4,0.6,
tennessee,14,Brock Jancek,6,0,1.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.2,0.0,0.0,0.0,
michigan-state,1,Cassius Winston,39,39,33.5,6.2,13.5,.460,4.1,8.1,.502,2.2,5.4,.398,4.2,5.0,.840,0.3,2.7,3.0,7.5,1.0,0.1,2.9,1.9,18.8,
michigan-state,2,Joshua Langford,13,13,28.6,5.4,12.2,.443,3.2,6.6,.477,2.2,5.5,.403,2.0,2.4,.839,0.7,2.9,3.6,2.3,0.8,0.1,2.4,2.4,15.0,
michigan-state,3,Nick Ward,34,25,20.8,4.8,8.3,.580,4.7,8.2,.577,0.1,0.1,1.000,3.3,5.0,.653,1.7,4.3,6.1,0.7,0.3,1.2,2.0,2.5,12.9,
michigan-state,4,Xavier Tillman,39,14,24.0,3.7,6.1,.605,3.5,5.4,.645,0.2,0.7,.296,2.4,3.3,.732,2.5,4.8,7.3,1.6,0.9,1.7,1.5,2.8,10.0,
michigan-state,5,Matt McQuaid,36,35,31.3,3.3,7.5,.432,1.2,2.7,.449,2.0,4.8,.422,1.3,1.6,.810,0.7,2.3,3.0,2.1,0.6,0.1,1.0,2.1,9.8,
michigan-state,6,Kenny Goins,39,39,30.4,2.8,6.9,.405,1.4,2.7,.500,1.4,4.2,.344,0.9,1.2,.729,2.2,6.8,8.9,2.3,0.7,1.3,1.5,2.1,7.9,
michigan-state,7,Aaron Henry,39,22,22.1,2.4,4.8,.495,2.0,3.8,.523,0.4,1.0,.385,0.9,1.3,.692,1.0,2.8,3.8,1.6,0.6,0.5,1.3,1.8,6.1,
michigan-state,8,Kyle Ahrens,30,8,18.8,1.8,4.0,.442,1.1,1.7,.635,0.7,2.3,.294,0.5,0.6,.833,0.6,1.9,2.5,1.0,0.6,0.1,0.7,1.2,4.7,
michigan-state,9,Gabe Brown,32,0,8.0,0.7,1.8,.390,0.2,0.5,.438,0.5,1.3,.372,0.3,0.4,.769,0.3,0.9,1.2,0.1,0.1,0.1,0.1,0.4,2.3,
michigan-state,10,Thomas Kithier,31,0,5.9,0.7,0.9,.793,0.7,0.9,.793,0.0,0.0,,0.1,0.2,.500,0.5,0.8,1.3,0.2,0.1,0.1,0.2,0.8,1.6,
michigan-state,11,Foster Loyer,36,0,5.8,0.5,1.2,.409,0.3,0.5,.588,0.2,0.8,.296,0.3,0.4,.923,0.0,0.4,0.4,0.9,0.1,0.0,0.6,0.7,1.6,
michigan-state,12,Marcus Bingham,23,0,3.6,0.3,0.9,.286,0.0,0.3,.000,0.3,0.6,.429,0.2,0.4,.556,0.2,1.0,1.1,0.3,0.0,0.4,0.2,0.5,1.0,
michigan-state,13,Jack Hoiberg,14,0,1.1,0.1,0.4,.333,0.0,0.2,.000,0.1,0.2,.667,0.3,0.3,1.000,0.1,0.1,0.1,0.2,0.1,0.0,0.4,0.0,0.7,
